unit_tax_list_id,unit_symbol_tax,unit_name_tax
156,WP,"WP-Inter bulk cont,woven plastic,coate"
157,WQ,"WQ-Inter bulk cont,woven plastic,liner"
158,WR,"WR-Inter bulk cont,woven plastic,coate"
159,WS,"WS-Interm bulk container, plastic film"
160,WT,"WT-Inter bulk cont,textile no coat/lin"
161,WU,"WU-Inter bulk cont,natural wood,liner"
162,WV,"WV-Inter bulk contain, textile, coated"
163,WW,"WW-Inter bulk conta,textile,with liner"
164,WX,"WX-Inter bulk cont,textile,coated/line"
165,WY,"WY-Inter bulk cont,plywood,inner liner"
166,WZ,"WZ-Interm bulk conta,reconsituted wood"
167,XA,"XA-Bag,woven plastic,without inner coa"
168,XB,"XB-Bag,woven plastic, sift proof"
169,XC,"XC-Bag, woven plastic, water resistant"
170,XD,"XD-Bag, plastics film"
171,XF,"XF-Bag, textile,without inner coat/lin"
172,XG,"XG-Bag, textile, sift proof"
173,XH,"XH-Bag, textile, water resistant"
174,XJ,"XJ-Bag, paper, multi-wall"
175,XK,"XK-Bag,paper,multi-wall,water resistan"
176,XX,XX-SCT UN-IDENTIFIED
177,YA,"YA-Composte pack,plast recp steel drum"
178,YB,"YB-Composte pack,plast recp steel crat"
179,YC,"YC-Composte pack,plast recp alumi drum"
180,YD,"YD-Composte pack,plast recp alum crate"
181,YF,"YF-Composte pack,plast recp wooden box"
182,YG,"YG-Composte pack,plast recp plywo drum"
183,YH,"YH-Composte pack,plast recp plywo box"
184,YJ,"YJ-Composte pack,plast recp fibre drum"
185,YK,"YK-Composte pack,plast recp fibreb box"
186,YL,"YL-Composte pack,plast recp plast drum"
187,YM,"YM-Composte pack,plast recp plastc box"
188,YN,"YN-Composte pack,glass recp steel drum"
189,ZY,ZY-Intermediate bulk container
190,ZZ,ZZ-Mutually defined
191,YP,"YP-Composte pack,glass recp steel crat"
192,YQ,"YQ-Composte pack,glass recp alumi drum"
193,YR,"YR-Composte pack,glass recp alum crate"
194,YS,"YS-Composte pack,glass recp wooden box"
195,YT,"YT-Composte pack,glass recp plywo drum"
196,YV,"YV-Composte pack,glass recp wicker ham"
197,YW,"YW-Composte pack,glass recp fibre drum"
198,YX,"YX-Composte pack,glass recp fibreb box"
199,YY,"YY-Composte pack,glas rec ex plas pack"
200,YZ,"YZ-Composte pack,glas rec so plas pack"
201,ZA,"ZA-Interm bulk cont, paper, multi-wall"
202,ZB,"ZB-Bag, large"
203,ZC,"ZC-Inter bulk cont,paper,water resista"
204,ZD,"ZD-Int.bulk.cont,plast,struc equip sol"
205,ZF,"ZF-Int.bulk.cont,plast,free standing"
206,ZG,"ZG-Int.bulk.cont,plast,struc equp pres"
207,ZH,"ZH-Int.bulk.cont,plast,freestand,press"
208,ZJ,"ZJ-Int.bulk.cont,plast,struc equip liq"
209,ZK,"ZK-Int.bulk.cont,plast,freestand,liqui"
210,ZL,"ZL-Int.bulk.cont,comp,rigid plast,soli"
